Order Type,Quantity,Price,Property Link,Order ID,Expire At,Created At
Sell,1,299.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HR8BWY5N17D5P7E2BB00TFV7,1712266258364,1709677927683
Sell,46,75.0,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HSGQDWR8MDQS4ZTBRFFJV6A6,1713624165747,1711032197384
Sell,50,72.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HS9GXKTJPZHJGY90ZSRA262Z,1713382453103,1710790490511
Sell,10,71.99,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HSC3WB70YFTSY7W6PNDX6SGZ,1713469448820,1710877481198
Sell,2,69.0,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HSPS95F86WEKPKVQH1HSCJKV,1713827425599,1711235465955
Sell,93,69.0,https://lofty.ai/property_deal/01G083E54FY7NBMBF6NSKQGNYD,01HRAVN665G44520RQSBKKYEW5,1712349928789,1709761562084
Sell,1,68.5,https://lofty.ai/property_deal/01H6RZ1ETKA3N7HAAA2TKWJGWQ,01HSXA356VZENCEEYYTXF5SAP1,1714046379354,1711454420831
Sell,1,67.09,https://lofty.ai/property_deal/01F9YN2XC891JSZ1S7M63MBNVX,01HSKBMSH9JNQKVBCMR3CKS24V,1713712455909,1711120502289
Sell,1,66.5,https://lofty.ai/property_deal/01HP2GCJSK1VAAEQPK3Q45149H,01HRBSJGKEWZZZB4SJ0SNZFCD4,1712384872588,1709792931110
Sell,20,65.88,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HT36X929STTM98GCTADXA8E7,1714244368469,1711652409933
Sell,8,65.43,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HSYQ34PWD6WWCNRB88QY77KG,1714093551928,1711501606486
Sell,150,65.0,https://lofty.ai/property_deal/01HQPBRGHMGY6J768GPKRRRWG2,01HT8MRC6WWGKVRF3Z3XYF7ZS5,1714426670410,1711834699286
Sell,5,64.88,https://lofty.ai/property_deal/01HH55NJSE80CHPE90B1RTRQRB,01HTGRY0K8VTR26FE9P7W1QHF1,1714699410277,1712107515259
Sell,15,64.7,https://lofty.ai/property_deal/01FG9TK5697PHWZF3VA7KFPTVT,01HS4MATQCB418484TAY982RDM,1713218249368,1710626296694
Sell,137,64.69,https://lofty.ai/property_deal/01FG9TK5697PHWZF3VA7KFPTVT,01HS8Z807HPG3KXQC03W8ERHGR,1713363926938,1710771955897
Sell,2,63.16,https://lofty.ai/property_deal/01FHR5PK90GXRD3T56A1MXWYQT,01HRBGX0WB05ABPTPMYPV4TD6Y,1712375794214,1709783838233
Sell,1,63.0,https://lofty.ai/property_deal/01FG9TK5697PHWZF3VA7KFPTVT,01HTD9NSZVNQ95W9RKB2B2TJ13,1714582800903,1711990855110
